album_id,album_popularity
1YH0ovJ2varLRw2WJCM25N,28
44sQZjLg99YdsNsPAkBNXj,23
2dFflKqTqqV1m9kyB6CAPE,26
7HpS6GBm7zGZhKTODU8Be5,11
3zhiAPi0l1rxjaA1VBa4QX,13
68wdXsJmyuDfbozV2rDjXq,55
1PYVnByGgRQtgmNbBoclHT,9
6WaIQHxEHtZL0RZ62AuY0g,66
2WT1pbYjLJciAR26yMebkH,64
2Z1F88uc69qMu2kk7wN0SN,38
31pd81sWDaK2pP3ok5892z,52
04HuEqi5DjeHmOhFiBGZDS,21
1qE2FuNGLT0j2wApcrE1PY,6
1bt6q2SruMsBtcerNVtpZB,73
3mMjDi34kU0Bqv3YtWJz6E,0
7Iybusl2TxnH26o3x3lOtX,37
2B7X9jUKwOhDLouk997Ut3,43
763I257wuiUzaZ8KG5GoPk,1
3Se55Em2mSqYwuQLqS7XDb,33
4081lWeHGcuBBpUDlO2Bup,31
3WTPzYlBRlr2wBsDbO9P2J,32
09gAlASxhyGbz8s2hCIPW5,42
3xWp6y0HGsHZlXljNs7VRy,58
2drh7mzuF4RGo6yLjC9CAb,1
6asbUyBJru4obTZOY1PDXV,9
4KjbNbnTnJ97kZgQkOHr6v,55
4CFDO4JYbFhFL6FOkMHJwO,33
6QEnHZniqvybsckdyptQql,27
7DWDzLGhYO99yvQzk5kSJc,25
1Vw2uoVkLAJFVViJ1QyK1D,65
0JP8qGzRVypf5nznOXz7Qm,43
30DpeHhcD3ULEyG4IsX9Ro,25
0OmYuz9hwn1XoqmDaU0yJ7,73
17UgjoRfqvt69cMy5nSWoc,19
4528zWaYSTvviIqv75jNpN,32
1CMRftTwcQ1FjH1MU3Oxqe,15
69CmkikTHkGKdkrUZTtyWl,58
7fJJK56U9fHixgO0HQkhtI,77
51J9pKjLCM1vNWZVSKv0DS,37
7BhMDGBQ6xtZl1LwOwueYO,57
244RMdTt0sxIhzhvCeD21a,25
4XDWk7zU6KDgLaqLxEYi8y,61
77l2jnLwCyD9yvAiDCWadA,33
1djJMOaxq9mdZur8Z0Wt99,25
1iYM4iRUQhMr2kjXchqmMw,27
72gN1rKSLa00sDq8fmGQF4,35
2G18Ivq1mmJNPKtk8rfU0g,7
0lzPMIAYhhUSD2BPT0VQWI,69
6dvqARQzWnVbGym9dEWw4Y,13
1JU6xZQeMx05tLZAkm5uCv,38
2Uu35xCulTa5fA3JnXt9tm,54
0cxxdWtB00NG8ErYYdNwgR,31
2wb8GfeGtwL1sKPzHs0ffA,51
1q2ErTOAW7U3cx1LqucD1a,40
0Yak3Y7E8UjlUGSEn4DUuM,39
4u3piRvbk4dns3RbMla1a2,33
3oZJxpZkasyKUiuENYRSqr,1
1widYgH6RNVOxnLOiVeihU,2
1FYVy6b5R41tMIAhWS6fXJ,42
3X6t27Kq0J2aK7nLFUe9bX,1
5MsxvhXIJxpiXJI2MNF3VE,29
13bSef3QY8aLCYUCALr7Jb,23
3L1NLn5rcrmV4uVqgaoTI7,56
0I1IUXRpjwFj4Vy2yK5K9n,18
4vHbgyJ6Gyt0JPoz75XAJr,34
2UzXIyRas6ty3YF8ctT7o7,0
1zcm3UvHNHpseYOUfd0pna,70
