danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.742,0.945,5,-6.445,1,0.0428,0.0639,0.165,0.131,0.742,112.977,audio_features,0Cn4UhpHhgf88eWaS9nn5u,spotify:track:0Cn4UhpHhgf88eWaS9nn5u,https://api.spotify.com/v1/tracks/0Cn4UhpHhgf88eWaS9nn5u,https://api.spotify.com/v1/audio-analysis/0Cn4UhpHhgf88eWaS9nn5u,256693,4
0.695,0.945,10,-6.165,0,0.0418,0.00341,0.0727,0.103,0.84,125.013,audio_features,5yaCquc7koPqtgj7v0lwHX,spotify:track:5yaCquc7koPqtgj7v0lwHX,https://api.spotify.com/v1/tracks/5yaCquc7koPqtgj7v0lwHX,https://api.spotify.com/v1/audio-analysis/5yaCquc7koPqtgj7v0lwHX,246427,4
0.843,0.577,11,-10.433,0,0.0511,0.806,2.39e-06,0.164,0.951,120.688,audio_features,550YpmfhHjNO7xqvScSC0i,spotify:track:550YpmfhHjNO7xqvScSC0i,https://api.spotify.com/v1/tracks/550YpmfhHjNO7xqvScSC0i,https://api.spotify.com/v1/audio-analysis/550YpmfhHjNO7xqvScSC0i,92787,4
0.847,0.677,8,-6.202,1,0.31,0.00377,0.0188,0.192,0.55,133.876,audio_features,3FiPLOhNiB2Ox4ut1jJxE2,spotify:track:3FiPLOhNiB2Ox4ut1jJxE2,https://api.spotify.com/v1/tracks/3FiPLOhNiB2Ox4ut1jJxE2,https://api.spotify.com/v1/audio-analysis/3FiPLOhNiB2Ox4ut1jJxE2,268779,4
0.582,0.896,10,-9.152,0,0.0638,0.00211,0.728,0.0218,0.665,134.994,audio_features,4zI0wuANmj9DNkBOgXU5Wh,spotify:track:4zI0wuANmj9DNkBOgXU5Wh,https://api.spotify.com/v1/tracks/4zI0wuANmj9DNkBOgXU5Wh,https://api.spotify.com/v1/audio-analysis/4zI0wuANmj9DNkBOgXU5Wh,548560,4
0.664,0.506,2,-9.177,0,0.0342,0.588,0.0,0.155,0.75,135.038,audio_features,7COnJ7dYdPoxvgJMmAh9OI,spotify:track:7COnJ7dYdPoxvgJMmAh9OI,https://api.spotify.com/v1/tracks/7COnJ7dYdPoxvgJMmAh9OI,https://api.spotify.com/v1/audio-analysis/7COnJ7dYdPoxvgJMmAh9OI,139598,4
0.804,0.815,9,-7.72,0,0.0722,0.168,2.19e-05,0.103,0.781,105.983,audio_features,4WkKXTTZuAr9QgIeTAmA6w,spotify:track:4WkKXTTZuAr9QgIeTAmA6w,https://api.spotify.com/v1/tracks/4WkKXTTZuAr9QgIeTAmA6w,https://api.spotify.com/v1/audio-analysis/4WkKXTTZuAr9QgIeTAmA6w,281250,4
0.743,0.682,1,-10.991,1,0.0801,0.467,0.0924,0.1,0.769,127.983,audio_features,7p1cat0EBRnvYD1UNLfq3N,spotify:track:7p1cat0EBRnvYD1UNLfq3N,https://api.spotify.com/v1/tracks/7p1cat0EBRnvYD1UNLfq3N,https://api.spotify.com/v1/audio-analysis/7p1cat0EBRnvYD1UNLfq3N,241875,4
0.449,0.697,11,-5.342,1,0.323,0.114,0.0,0.241,0.242,83.699,audio_features,4J9WveqdoaEUQu1aeoSH9X,spotify:track:4J9WveqdoaEUQu1aeoSH9X,https://api.spotify.com/v1/tracks/4J9WveqdoaEUQu1aeoSH9X,https://api.spotify.com/v1/audio-analysis/4J9WveqdoaEUQu1aeoSH9X,210133,4
0.138,0.648,0,-5.451,1,0.0322,0.000184,0.227,0.098,0.333,95.032,audio_features,6MJ8YgmhMphGcCX5OVS28W,spotify:track:6MJ8YgmhMphGcCX5OVS28W,https://api.spotify.com/v1/tracks/6MJ8YgmhMphGcCX5OVS28W,https://api.spotify.com/v1/audio-analysis/6MJ8YgmhMphGcCX5OVS28W,201147,3
0.682,0.861,4,-6.614,0,0.0978,0.0738,0.000758,0.183,0.742,159.983,audio_features,62wAc90VNxtcNJQJrPaeJQ,spotify:track:62wAc90VNxtcNJQJrPaeJQ,https://api.spotify.com/v1/tracks/62wAc90VNxtcNJQJrPaeJQ,https://api.spotify.com/v1/audio-analysis/62wAc90VNxtcNJQJrPaeJQ,146000,4
0.732,0.89,9,-6.959,0,0.0458,0.00172,0.89,0.657,0.353,132.0,audio_features,5CSFDfvPqdrzZZiaCRnmy9,spotify:track:5CSFDfvPqdrzZZiaCRnmy9,https://api.spotify.com/v1/tracks/5CSFDfvPqdrzZZiaCRnmy9,https://api.spotify.com/v1/audio-analysis/5CSFDfvPqdrzZZiaCRnmy9,104545,4
