artist_id,artist_popularity,artist_genres
0IwlY33zbBXN7zlS9DP2Cj,56,"['experimental', 'melancholia', 'singer-songwriter']"
63yl9nDNrHpiAYGlNJxxjc,44,"['acid house', 'chicago house', 'classic house', 'deep house', 'diva house']"
69lxxQvsfAIoQbB20bEPFC,57,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']"
5kytvmQqoeunOLa2LtIt1N,31,['british experimental']
5z7jsdhxqvsOxzZxfVF236,24,['bass house']
69fOAbSc6FEOFmvvMzlNgY,35,['canadian americana']
6EL8x2zkCRGzb32jvrSI56,32,[]
4x2Ejyd2OGXtZrPvAQWvYL,51,['minimal melodic techno']
2KlDlqEMf0YyYW8rBKUx6W,33,"['electrofox', 'french indie pop', 'french indietronica', 'french post-punk', 'french psychedelic']"
1MSxOmIt7uYgvPydd1tU8F,33,"['indie jazz', 'wonky']"
1CoZyIx7UvdxT5c8UkMzHd,69,"['r&b', 'uk contemporary r&b']"
2z4eiJkDaXYCR9kv2UuSgz,36,"['classic garage rock', 'psychedelic rock']"
3M3wTTCDwicRubwMyHyEDy,55,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']"
4Ge8xMJNwt6EEXOzVXju9a,58,"['art pop', 'escape room', 'indie pop', 'indietronica']"
2SpMjzpc9CfI6WWtwdToiA,29,"['argentine rock', 'rock nacional']"
7irNsOVAnYmZyfyvHKgWnr,9,[]
0epOFNiUfyON9EYx7Tpr6V,74,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
1WGb8nCPGJA0RyriSDIQfC,42,[]
1iX0eIvL5iHnaDny7BBtWH,38,[]
0Vv0Cc8LAnIhUsYI4d5wBg,28,[]
5BwOOeKayeMZXa5SSaiRxv,64,['classic italian pop']
4wrzxtBZw20ufDstKyTnnP,55,['uk pop']
6fL5VGL0vinKQ5HOviw6iX,51,[]
4TNv2qUxg5z1yjKeDgY0EV,45,['techno remix']
5zyNXVd952fWOjkdGHCvPd,45,"['classical', 'early modern classical', 'neoclassicism']"
25MkkfEousyfp2eyh38FUl,57,"[""canzone d'autore"", 'classic italian pop', 'italian adult pop']"
2AR42Ur9PcchQDtEdwkv4L,46,"['electronica', 'future garage', 'intelligent dance music', 'wonky']"
4YhJrnFq2vfLrp7AwDfLEJ,32,[]
3wFHDAXLsjvclEtifEV7F5,29,['cambodian rock']
0qudezVgvl4Chd9BgNFB83,48,['neo-classical']
44cbEMJmNNTtS1kgMYoQx5,6,['romanian electronic']
1np8xozf7ATJZDi9JX8Dx5,48,['ukg revival']
66aihwzUYfaMjBxcumVf1j,26,['wonky']
0jrFMgW018F1XVnLtCXOKi,65,['compositional ambient']
5kgAnLGI2biBHvY7hDsF7P,45,['ukrainian classical piano']
18lpwfiys4GtdHWNUu9qQr,61,"['australian reggae fusion', 'australian surf rock']"
1BMITM12bahSSVJjmdDmuF,41,['bardcore']
0EEHriKw0Gzrmb2ZII2apY,39,['afro-funk']
6TRHBkv8BBumCvAekctZiJ,32,"['electro jazz', 'nu jazz']"
3AA28KZvwAUcZuOKwyblJQ,76,"['alternative hip hop', 'modern rock', 'rock']"
5wDUccrtIJwwjOtqed0FrW,24,"['chimurenga', 'mbira', 'zim urban groove']"
5zaXYwewAXedKNCff45U5l,64,"['adult standards', 'british invasion', 'soul', 'vocal jazz']"
7G1GBhoKtEPnP86X2PvEYO,65,"['jazz blues', 'neo soul', 'soul', 'soul jazz', 'torch song', 'vocal jazz']"
2AMevEAUMngT2v8RZNSbOq,22,['kwaito']
4CEx3bChuX1hsIURUfF64d,12,[]
4AQrqVz6BYwy29iMxcGtx7,56,"['indie emo', 'nu disco', 'shiver pop']"
54dXUQ28NmpBHImIXjRsUg,37,['classic turkish pop']
21YVqjnLD2dPdOsZsVx7Zz,19,[]
5UjqeSp9dX6Nrge7WdDukr,36,"['big beat', 'breakbeat', 'drum and bass', 'jungle']"
28z70aQRbXNFU0OP930suZ,23,[]
3csPCeXsj2wezyvkRFzvmV,46,"['big beat', 'breakbeat', 'electronica', 'intelligent dance music', 'rave']"
0bI0ljJ8UY1mSmAVboAhpX,18,[]
4C6wgoWhcLc5vlfQ8Iffw8,11,[]
6UFqtFCNxhYqsQ1QRF6HRd,39,"['arab groove', 'lebanese indie']"
37PL04N8kBWWW69jdrMMWT,48,"['dutch indie', 'turkish psych']"
1FvjvACFvko2Z91IvDljrx,55,"['alternative hip hop', 'alternative r&b', 'chicago rap', 'conscious hip hop', 'drill', 'hip hop', 'underground hip hop']"
2OuSnRT9BKAvFuw0yoTim0,44,['canadian electropop']
5qTJU3YBzlGmOSrSHL4EVK,27,['northern soul']
1uRxRKC7d9zwYGSRflTKDR,60,"['indie soul', 'pop soul']"
77J3V0V7sEOf5ifCDBSNaJ,49,"['indie napoletano', 'neapolitan funk']"
7MhMgCo0Bl0Kukl93PZbYS,67,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']"
72fctEjeweXNkLPAUW1kYJ,5,['turkish psych']
2tBWWgGv7H5ymPtJrT1rNu,55,['greek indie']
3X2DdnmoANw8Rg8luHyZQb,55,[]
7bG2PIfT22HGxisl6LAohx,45,['classic city pop']
0O1UtbTe4ca7HabaiMhYZ7,46,"['city pop', 'j-rock']"
0IVapwlnM3dEOiMsHXsghT,41,"['chillwave', 'electronica', 'future garage', 'glitch hop', 'indietronica', 'intelligent dance music', 'wonky']"
3IYUhFvPQItj6xySrBmZkd,78,"['album rock', 'classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']"
6O4EGCCb6DoIiR6B1QCQgp,58,"['chillwave', 'hypnagogic pop', 'indie soul', 'indietronica']"
22WZ7M8sxp5THdruNY3gXt,70,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
1ZwdS5xdxEREPySFridCfh,76,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
5l9wiTZVfqQTfMDOt0HtwC,44,"['alternative dance', 'canadian electronic', 'dance-punk', 'electroclash', 'electronica', 'filter house', 'minimal techno', 'new rave']"
5rX2c1zow6hCph8PnnU3kF,59,"['bossa nova', 'brazilian jazz', 'lounge', 'samba-jazz', 'vocal jazz']"
1PryMSya1JnSAlcwYawCxp,59,"['brass band', 'instrumental funk']"
4AIo9dEYhuS3AtwhhKgA0M,32,"['new romantic', 'new wave', 'new wave pop', 'uk post-punk']"
2PvJEA5ZKrnRT2C6vZNM7u,1,[]
0pkLgeB9j465x1QB2kRoy4,48,['australian experimental']
5P1m0YM0AYTKGI5ugWfQwe,23,['deep soul house']
7xqnFwk6ZueWJ1IA8gsEWM,15,['future garage']
4Uhgu5miW68A3eqRl26xtf,32,[]
2ePIzx9NjxplS724QMZtsf,45,"['electrofox', 'filter house', 'french indie pop', 'french indietronica', 'new french touch', 'nu disco']"
10JL2s5aUztzFyURrFrxtL,42,['glitch pop']
4pSMnAlD8JVEW3eZDuaQH8,37,[]
5ixSn3H9wbdWQxcf8qEKOV,29,"['acousmatic', 'drone', 'minimalism', 'proto-techno', 'sound art', 'spectra']"
5hW4L92KnC6dX9t7tYM4Ve,59,"['canadian singer-songwriter', 'folk', 'folk rock', 'singer-songwriter']"
6yCdWsTDt4Dmb5GMZd5QLb,31,"['bulgarian electronic', 'deep disco house', 'deep house', 'float house', 'future garage', 'microhouse', 'minimal tech house', 'minimal techno', 'techno']"
0d4nL4lAEkHJIqLZSHBuav,30,"['deep disco house', 'minimal tech house', 'swiss techno', 'techno']"
1TIbqr0x8HoKzKBNtNN8wf,34,['experimental electronic']
6fFcUOFcbjeIuEomuUthkw,42,"['alternative r&b', 'escape room']"
6L8Co7Voup4dISwbSl3owl,44,"['bubble trance', 'german techno']"
2E4lzxgBnCEqLawsXeRKWp,45,"['bubble trance', 'german techno', 'munich electronic']"
3S34Unhn5yRcaH5K9aU5Et,54,['southern soul']
6StZbL9v3UpuaMwIoq8fyW,42,['rally house']
7tYKF4w9nC0nq9CsPZTHyP,88,"['pop', 'r&b', 'rap']"
0DqR5aQYPz1s2M3YbycLMJ,43,[]
0N9VAxuKTAu0yAGwhIbyfg,24,[]
5tOWIviwLM1EIqGAbF8VSU,39,['filter house']
2WoVwexZuODvclzULjPQtm,61,"['alternative r&b', 'indie soul']"
65dGLGjkw3UbddUg2GKQoZ,60,"['canadian modern jazz', 'indie soul']"
0g3NiCRhEv7M4SEDMrpItN,44,"['alternative dance', 'electronica', 'future garage', 'indietronica', 'nu disco', 'oxford indie']"
052uglZ4PgpVs8YxEOViXz,42,['uk alternative hip hop']
6d1HqiWNEKV9zFqQM9WeYo,47,"['electronica', 'future garage', 'indie soul']"
7wXTWO45lqpUejDkike0Gf,46,['experimental house']
7cVhebR7qQnFcIUAD5D5Wv,38,[]
0vTVU0KH0CVzijsoKGsTPl,59,['jazz house']
63aP18bg2ABSOqSNQcAMNy,39,"['louisiana blues', 'new orleans blues', 'new orleans soul', 'rock keyboard', 'southern soul']"
5CzlICF8GCY0pRC82MKrhX,52,['classic uk pop']
1qJKbnYRr3HzqPkStXfk0E,23,[]
3xYXYzm9H3RzyQgBrYwIcx,67,"['canadian americana', 'canadian contemporary country', 'outlaw country', 'saskatchewan indie']"
54QMjE4toDfiCryzYWCpXX,61,"['alternative dance', 'electronica', 'french indie pop', 'indietronica', 'neo-synthpop', 'new rave', 'socal pop punk']"
1HY2Jd0NmPuamShAr6KMms,82,"['art pop', 'dance pop', 'pop']"
0cmWgDlu9CwTgxPhf403hb,60,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']"
5qnkHpjyS6CUxH1UUy82B7,48,[]
6kic5bCjlohhDn9KzXbOta,39,"['abstract', 'electronica', 'intelligent dance music', 'wonky']"
37YzpfBeFju8QRZ3g0Ha1Q,51,['lo-fi house']
3NUtpWpGDoffm3RCGhSHtl,52,"['electra', 'electronica', 'future garage', 'indie soul', 'indietronica', 'wonky']"
7MNEVabc4cs19CbzAFZmXz,53,"['alternative r&b', 'indie soul']"
0ty0xha1dbprYIUAQufkFn,49,"['contemporary r&b', 'philly soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
6pJY5At9SiMpAOBrw9YosS,51,"['jazz house', 'lo-fi house']"
1Z8ODXyhEBi3WynYw0Rya6,58,"['east coast hip hop', 'golden age hip hop', 'hip hop', 'jazz rap']"
5YkBrE0wF8cAlq3GCOw5Eu,41,"['indie rock', 'indie surf', 'indietronica', 'la indie', 'metropopolis', 'noise pop']"
0k17h0D3J5VfsdmQ1iZtE9,75,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
4rGa6nIVxUyi8xWSwkHDE1,24,"['afrobeat fusion', 'frafra']"
7w29UYBi0qsHi5RTcv3lmA,59,"['alternative rock', 'art pop', 'electronica', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'icelandic singer-songwriter', 'metropopolis', 'permanent wave', 'trip hop']"
02YLJJnWC7YQVixkjEBRn7,52,"['british singer-songwriter', 'indie anthem-folk']"
0uCCBpmg6MrPb1KY2msceF,46,"['classic dubstep', 'electronica', 'future garage', 'hauntology', 'intelligent dance music', 'trip hop', 'uk bass', 'wonky']"
3UD3Z8MLdGpRA4EuJsF5H4,2,[]
2jT3Zlaqv3r8hxHdWE8Xig,32,"['electric bass', 'jazz fusion']"
7iNWihBrDST1H86nEeFY9W,20,"['grimewave', 'neo grime', 'vogue', 'weightless']"
64Ga4k954wyRZLkxMD9LJs,13,['garage house']
73A3bLnfnz5BoQjb4gNCga,59,"['ambient house', 'electronica']"
1vXY7FiXJPu6j456ZcrtIF,49,[]
2EFsfh1zewsSWhDINv7j1I,46,['ukg revival']
7gokJukppUKeH1t6RBiclx,21,['ghanaian hip hop']
6QAXPFWafsrhltnhogrQ1P,37,['indie soul']
2D7akgJBXcsp8Y2FKdPJCh,41,['stutter house']
2ewnWVVtXH64jethVSscTG,25,[]
6wFId9Jhuf9AKVzWboOj2B,49,"['alternative hip hop', 'hip hop']"
5JYtpnUKxAzXfHEYpOeeit,61,"['bossa nova', 'manguebeat', 'mpb', 'samba', 'samba-rock', 'tropicalia']"
0Fpfvyf08wkpf23alBtDMr,1,[]
7cJsi55v9rMFw0HSOinyGP,20,[]
4fP5zCJRf168wiWHG9tR9m,39,['classic japanese jazz']
5gqoUf9vKKv96b1c0GBKwu,41,"['deep house', 'future garage', 'house']"
6zFYqv1mOsgBRQbae3JJ9e,75,"['album rock', 'classic rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']"
4PwlsrN0t5mLN0C827cbEU,60,"['french indie pop', 'french indietronica', 'french synthpop']"
3PhoLpVuITZKcymswpck5b,80,"['glam rock', 'mellow gold', 'piano rock', 'rock']"
2EumY6nN7MHbpDFeROPuqV,21,['brooklyn indie']
3nFkdlSjzX9mRTtwJOzDYB,80,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
6M2wZ9GZgrQXHCFfjv46we,87,"['dance pop', 'pop', 'uk pop']"
6l3iPTof4l2D75Wawq9w7R,44,['british dance band']
6tpaMMCs8X6o8j9H5OmWmT,57,"['alternative r&b', 'experimental r&b']"
0GByy3DcfbQwDvXGCWmzv9,59,"['album rock', 'classic rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock']"
1NRzxuPpdGushT8YmF5NAa,54,[]
1mZbRiSVb2ExneAlDbBiiT,44,"['bossa nova', 'mpb', 'musica popular mineira']"
6VC4hWnnMMmOxpH6KsAXBU,31,"['uk bass', 'uk experimental electronic']"
7e3FtKBIPLrIVm8g1FJMVg,52,"['alternative r&b', 'indie soul']"
0JYlkNmu76Wu1DgvWNWq7X,28,['experimental r&b']
3a1tBryiczPAZpgoZN9Rzg,70,"['afrobeats', 'nigerian pop']"
0a1SidMjD8D6EHvJph4n2H,66,"['afrobeats', 'nigerian pop']"
6zsJjoCtL1WByG0VsuFWzR,56,"['deep disco house', 'melodic house']"
4hSeosKw3pr72gC10igZow,47,['folktronica']
7r8EHfxHZHU16sUV3BEH1t,58,"['hypnagogic pop', 'utopian virtual']"
38CPjAAqYV8lTYi6clzbjG,40,['spiritual jazz']
40iG1d2wC4KdBLb8wXNq33,37,"['alternative americana', 'drone folk', 'modern old-time', 'north carolina roots', 'pastoral']"
1dCLEg0dKASY0PSsOOrA3Z,26,"['ambient country', 'cascadia psych', 'pastoral']"
6Y5cNd3evdFr5wcZMUCX3R,7,[]
2jlWF9ltd8UtoaqW0PxY4z,42,"['canadian indigenous hip hop', 'canadian indigenous music', 'escape room', 'ottawa rap']"
1oZmFNkGAT93yD1xX4vTRE,41,"['electra', 'minimal techno', 'russian electronic', 'russian techno']"
40aC0ICH8LjuNvZrh30WtD,35,['deep liquid bass']
0IySrk0S2gbAoxaYyPHEZD,23,['jazz house']
2YEnrpAWWaNRFumgde1lLH,54,[]
3A5tHz1SfngyOZM2gItYKu,66,"['alternative hip hop', 'drumless hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']"
6vJvFV1A2CpT8s5B1oUN6t,42,"['deep disco house', 'italian electronica', 'melodic techno', 'microhouse', 'minimal techno']"
3JsMj0DEzyWc0VDlHuy9Bx,67,"['album rock', 'art rock', 'classic rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
13vr2QqzoWOWDyaAZDuEGO,42,['chillhop']
1hrOvw6197WGlXcIBJAp7v,43,[]
3VXCvo9Sr0hbZ4mk6VOKBs,39,"['glitch hop', 'halftime dnb', 'liquid funk']"
1UH80jhsYsFztK0anu2FNS,49,"['chill abstract hip hop', 'indie hip hop', 'meme rap', 'social media pop']"
07AMonlLsjj4dHFU2pRjdZ,22,['breaks']
4admDxmnri5Zco0xYrJ0ji,55,"['deep disco house', 'deep house', 'house', 'minimal techno', 'uk tech house']"
2p1fiYHYiXz9qi0JJyxBzN,70,"['birmingham grime', 'grime', 'instrumental grime', 'uk hip hop']"
2rwALQ1SXdfUWPUd6WOfYS,68,['conscious hip hop']
6RsLLSkSTcL4YrvgRcBTQd,46,['swiss house']
2exkZbmNqMKnT8LRWuxWgy,54,"['electronica', 'indietronica']"
5kARVtC2AG0DnhgrFBCbGR,37,[]
2mLA48B366zkELXYx7hcDN,66,"['electra', 'float house']"
5tcwaJBUyEdxQxvieuQxU7,52,[]
1GhPHrq36VKCY3ucVaZCfo,58,"['alternative dance', 'big beat', 'breakbeat', 'electronica', 'rave', 'trip hop']"
742YR9ZgF0tCO5juBfvPAU,42,"['disco', 'post-disco', 'southern soul']"
01PnN11ovfen6xUOHfNpn3,57,['future garage']
2yTqyPwfncCetij3alZ0ZG,12,[]
4fQHCuys7JZvaQzRvB1kPR,47,['gauze pop']
3tlXnStJ1fFhdScmQeLpuG,81,"['r&b', 'rap']"
